Konverzace na cesty	Rejseparlør	Reisesprachführer	Traveler’s phrasebook	Diccionario de viaje	Conversations de voyage	Priručnik za konverzaciju	Conversazione da Viaggio	Az útiszótár alkalmazásról	Conversatiegids	Reiseordbok	Rozmówki turystyczne	Conversação para viagens	Matkasanakirja -sovelluksesta	Resekonversation	Seyahat konuşma kılavuzu	Χρήσιμες ταξιδιωτικές φράσεις	Пътнически разговорник	Разговорник для путешествий	שיחון לתייר	عبارات تستخدم في السفر	旅行常用会话指南	旅行会話
jazyků	sprog	Sprachen	languages	lenguas	langues	jezika	lingue	nyelvek	talen	språk	języki	línguas	lla kielellä	språk	dilde	γλώσσες	езика	языка	שפות	لغة	语言	言語
témat	temaer	Themen	topics	temas	thèmes	temu	tematiche	témára	thema´s	kategorier	tematów	temas	een matkailun	områden	temaya	θέματα	теми	тему	נושאים	المواضيع	主题	トピック
vět	sætninger	Sätze	sentences	oraciones	phrases	rečenica	frasi	mondatot	zinnen	settninger	zdań	frases	lausetta	meningar	cümle	προτάσεις	фрази	предложений	משפטים	جملة	个句子	文章
unikátních slov	unikke ord	Sätze	unique words	palabras únicas	mots uniques	jedinstvenih riječi	singoli vocaboli	egyedi szót	unieke woorden	individuelle uttrykk	unikatowych słów	palavras únicas	yksittäistä sanaa	unika ord	özgün kelime	μοναδικές λέξεις	уникални думи	наиболее распространённых слов	דקות הקלט	مفردة وظيفية	个特色单词	ユニークワード
minut nahrávek	minutters optagelse	Minuten Audioaufnahmen	minutes of audio recordings	minutos de las pistas de audio	minutes d'enregistrement audio	minuta reprodukcije	minuti di registrazioni	percnyi hangfelvételt	minuut van opnamen	minutters audio sammendrag	minut nagrań	minutos de gravações áudio	minuuttia äänitteitä	minuter av inspelningar	dakikalık ses kaydı	λεπτά ηχογραφήσεων	минути звукозапис	инут записи	מילים ייחודיות	دقيقة تسجيل	分钟的录音	分の音声録音
stažení	downloads	downloads	downloads	descargas	télécharger	preuzimanja	download totali	összes letöltés	totale downloads	totalt antall nedlastinger	pobrań ogółem	total downloads	latauksia yhteensä	nedladdningar	toplam İndirmeler	Συνολικές λήψεις	oбщо Сваляния	bсего скачиваний	total downloads	مجموع التنزيلات	总下载	累計ダウンロード数
Jazykový průvodce do celého světa			Your language guide anywhere in the world																			
Jedete na dovolenou nebo na služební cestu do zahraničí a neznáte místní jazyk? V cizí zemi se pohybujete v neznámém prostředí, ale přesto si tam musíte zajít do obchodu nakoupit, najíst se v restauraci, někde se ubytovat, půjčit si auto nebo se zajít večer někam pobavit. Právě proto je Konverzace na cesty nezbytným pomocníkem ve všech zemích, jejichž jazyk neovládáte.	Skal du på ferie eller på forretningsrejse til udlandet og taler du ikke det lokale sprog? Når du er i et fremmed land, bevæger du dig i et fremmed miljø, men alligevel skal du købe ind i forretninger, spise på restauranter, finde indkvartering, leje en bil eller gå ud i byen om natten. Derfor er Rejseparlør en nødvendig hjælper i alle lande, hvis lokale sprog du ikke behersker.	Sie fahren in Urlaub oder auf Dienstreise ins Ausland und beherrschen die örtliche Sprache nicht? In einem fremden Land bewegen Sie sich in einer unbekannten Umgebung, aber trotzdem müssen Sie dort Geschäfte besuchen um einzukaufen, im Restaurant essen, eine Unterkunft finden, sich ein Auto leihen oder abends ausgehen. Gerade deshalb ist der Reisesprachführer ein unentbehrlicher Helfer in all den Ländern, deren Sprache sie nicht beherrschen. Außerdem sind Einheimische immer erfreut, wenn Sie zumindest versuchen, mit ihnen in ihrer eigenen Sprache zu sprechen.	Are you going on a holiday or business trip to a foreign country and you don’t speak the local language? When travelling you have to successfully operate in a strange, foreign environment. You need to find shops, order food in restaurants, look for accommodation, rent a car and go out for the night. The Traveler’s phrasebook is an essential and indispensable guide designed for each country where you don´t have mastery of the local language.	¿Se va usted de vacaciones o por motivos de trabajo al extranjero y no conoce usted la lengua local? En el país extranjero se mueve usted en un ambiente desconocido pero, a pesar de esto, tiene que ir de tiendas, comer en un restaurante, alojarse en algún sitio, alquilar un coche o salir de fiesta por la noche. Justamente por eso, el Diccionario de viaje es una ayuda imprescindible en todos los países cuyas lenguas usted no domina.	Vous partez en vacances ou en voyage d'affaires à l'étranger et vous ne parlez pas la langue locale? Dans un pays étranger, vous êtes en activité dans un environnement inconnu, mais il faut aller au magasin pour acheter, il faut manger dans un restaurant, il faut trouver un endroit où loger, il faut louer une voiture ou aller le soir, quelque part pour se divertir. C'est pour cela que Conversation de voyage est votre outil indispensable dans tous les pays dont vous ne comprenez pas la langue.	Putujete na odmor ili na službeno putovanje u inozemstvo, ali ne govorite mjesnim jezikom? U stranoj zemlji se krećete po nepoznatoj sredini, morate i kupovati, hraniti se u restoranu, negdje stanovati, iznajmiti auto ili se navečer negdje zabavljati. Upravo zato je Priručnik za konverzaciju neophodni pomoćnik na putovanju, u svim zemljama, čiji jezik ne znate.	Andate in vacanza oppure in viaggio di lavoro all’estero e non conoscete la lingua del posto? Nei paesi esteri vi muovete in ambienti sconosciuti, ma dovrete comunque andare a fare la spesa in negozio, mangiare in ristorante, alloggiare da qualche parte, noleggiare una macchina o andare a divertirvi da qualche parte la sera. Proprio per questo Conversazione da Viaggio è lo strumento necessario in tutti i paesi di cui non conoscete la lingua.	Szabadságra vagy szolgálati útra készül külföldre és nem ismeri a helyi nyelvet? Vásárolni, étteremben enni, szállást keresni, autót bérelni, este szórakozni viszont külföldön, idegen környezetben is szoktunk. Épp ezért nélkülözhetetlen segédeszköz az Útiszótár minden olyan országban, ahol nem ismeri a nyelvet.	Gaat u op vakantie of zakenreis naar het buitenland en kent u de plaatselijke taal niet? In een vreemd land bent u in een onbekende omgeving, maar toch moet u naar een winkel, restaurant, hotel, u moet een auto huren of ´s-avonds uitgaan. Juist daarom is de Conversatiegids een noodzakelijke hulp in alle landen waarvan u de taal niet beheerst.	Skal du reise eller gå på ferie i utlandet? Snakker du ikke det lokale språket? Når du er i et fremmed land, behøver du å klare forskjellige situasjoner i ukjente omstendigheter. Du må gå og gjøre innkjøp på en butikk, spise på en restaurant, finne kost og losji, leie bil eller gå ut om kveldene. Derfor er Reiseordbok en hjelpeful guide på alle steder i verden, hvor du ikke behersker det lokale språket.	Wyjeżdżacie za granicę na urlop lub w podróż służbową i nie znacie języka kraju, do którego jedziecie? Obcujecie z nieznanym środowiskiem, jednakże musicie wykonywać codzienne czynności, np: pójść na zakupy, zjeść posiłek w restauracji, znaleźć nocleg, wypożyczyć samochód lub wieczorem iść do jakiegoś lokalu. Właśnie dlatego Rozmówki turystyczne są nieodzownym pomocnikiem we wszystkich krajach, których językami nie władacie.	Está viajando de férias ou em negócios a um país estrangeiro e não conhece a língua local? Em países estrangeiros você percorre um caminho desconhecido, mas tem de se virar nem que seja para ir às compras, ao restaurante, hotel, por vezes procurar alojamento, alugar um carro ou sair à noite para se divertir. Portanto Conversação para viagens é um guia necessário em qualquer país onde você não possui o domínio da língua local.	Oletko lähdössä lomalle tai työmatkalle ulkomaille, etkä osaa paikallista kieltä? Vieraassa maassa joudut tulemaan toimeen tuntemattomassa ympäristössä, jossa sinun on silti kyettävä käymään kaupassa, tilaamaan ravintolassa, majoittumaan, vuokraamaan auto tai vaikka lähtemään illalla jonnekin. Juuri tällaisissa tilanteissa on Matkasanakirja ehdoton apu kaikissa maissa, joiden kieltä et osaa.	Åker du på semester eller tjänsteresa till utlandet och du kan inte landets språk? I utlandet är du i okänd miljö, men ändå måste du gå till affären och handla, äta på restaurang, övernatta någonstans, låna bil eller gå ut på kvällen. Just därför är Resekonversationen en nödvändig hjälp i alla länder, dess språk ni inte kan.	Yabancı bir ülkeye tatil yada bir iş gezisi için seyahat ediyor ve yerel dillerini bilmiyor musunuz? Yabancı bir ülkede bilinmeyen bir ortama giriyorsunuz, ama basitçe, bir şeyler satın almak için mağazalara gitmek, yemek için restoranlara gitmek, bazen konaklama bulmak için, araba kiralamak veya keyifli bir akşam için dışarı çıkmak gereklidir. Bu nedenle Seyahat konuşma kılavuzu, yerel dil bilginizin olmadığı her ülkede gerekli bir kılavuzdur.	Έχετε προγραμματίσει διακοπές ή επαγγελματικό ταξίδι στο εξωτερικό και δε γνωρίζετε την τοπική γλώσσα; Σε μια ξένη χώρα βρίσκεστε σε ένα άγνωστο περιβάλλον, αλλά παρόλα αυτά εκεί θα πρέπει να πάτε στο κατάστημα για αγορές, να φάτε σε ένα εστιατόριο, να ενοικιάσετε αυτοκίνητο ή να πατέ κάπου το βράδυ να διασκεδάσετε. Για αυτό οι χρήσιμες ταξιδιωτικές φράσεις είναι απαραίτητο βοήθημα σε όλες τις χώρες εκείνες που δεν χειρίζεστε την γλώσσα.	Заминавате на почивка или бизнес пътуване в чужбина и не владеете местния език? В чуждата страна сте в непозната обстановка и въпреки това трябва да идете в магазин да пазарувате, да се нахраните в ресторант, някъде да се настаните, да вземете кола под наем или вечерта някъде да се позабавлявате. Точно затова Пътническият разговорник е незаменим помощник във всички страни, чийто език не владеете.	Едете в отпуск или командировку заграницу и не знаете местного языка? Заграницей, находясь в незнакомой среде, Вам надо зайти в магазин за покупками, поесть в ресторане, где-то поселиться жить, взять в аренду машину или зайти вечером куда-нибудь развлечься. Именно поэтому Разговорник для путешествий является неотъемлемым помощником во всех странах, чей язык Вы не знаете.	האם אתם יוצאים לחופשה או לנסיעת עסקים למדינה זרה ואינכם דוברים את השפה המקומית? במקרה כזה, יהא עליכם להסתדר בסביבה זרה. תיאלצו להסתדר כל אימת שתרצו לקנות בחנויות, לאכול במסעדות, למצוא מקום לינה, לשכור רכב, או לצאת לבלות בערב. בשל כך,שיחון לתייר מהווה עזרה הכרחית עבורך בכל מדינה בה אינך שולט בשפה.	عندما تكون في عطلة أو رحلة عمل في الخارج ولا تتحدث لغة البلد المحلية. فأنت في دولة أجنبية و تتحرك في بيئة غير مألوفة بالنسبة لك، و لكن رغم ذلك يجب عليك في هذا البلد الأجنبي أن تذهب للمحل لشراء حاجياتك، تناول الطعام في المطعم، إيجاد سكن، استأجار سيارة ، أو الذهاب في المساء إلى أماكن للإستمتاع. لذلك فإن العبارات المستخدمة في السفر شيء مهم لا غنى عنه في جميع البلدان التي لا تعرف لغاتها.	你是否遇到过去度假或到国外出差，可是却不说当地的语言？在陌生的国外，你又不得不出门。不得不去商店，餐馆，住宿，租车或夜生活。因此，在每一个你不会当地语言的国家，旅行常用会话指南确实是一个必要的和宝贵的指导。	あなたは休暇や出張で言葉の通じない外国へ旅行しますか。全く知らない環境に置かれても、買い物に行ったり、食事の為にレストランに行ったり、時々ホテルを探したり、レンタカーを借りたり、夕暮れの街にふらりと出かけたり、あちらこちらでいろんな場面に出会います。旅行会話は言葉の通じない国々で、必ず必要なガイドになってくれます。
S angličtinou se sice domluvíte v 89 zemích, s němčinou v 10 a s italštinou téměř v 7 státech, ale tato Konverzace na cesty vám pomůže domluvit se prakticky kdekoliv na světě. Navíc, místní obyvatele vždy potěší, pokud se alespoň pokusíte domluvit se s nimi jejich vlastním jazykem.	Med engelskkundskab kan du tale i 89 lande, med tysk i 10 lande, og med italiensk i næsten 7 lande, men med Rejseparløren kan du faktisk tale overalt i verden. Desuden bliver lokalbefolkningen altid glade, når man i det mindste forsøger at tale med dem på deres eget sprog.	Auf Englisch können Sie zwar in 89 Ländern kommunizieren, auf Deutsch in 10 und auf Italienisch in nahezu 7 Staaten. Der Reisesprachführer aber hilft Ihnen sich praktisch überall auf der Welt zu verständigen. Außerdem sind Einheimische immer erfreut, wenn Sie zumindest versuchen, mit ihnen in ihrer eigenen Sprache zu sprechen.	With knowledge of English one can speak in 89 countries, with German in 10 countries, and with Italian in 7 countries. However, the Traveler’s phrasebook enables you to speak anywhere in the world – and locals are always pleased when you attempt to communicate in their own language.	La verdad es que puede usted comunicarse en inglés en 89 países, en alemán en 10 y en italiano en casi 7, pero este Diccionario de viaje le ayuda a comunicarse prácticamente por todas las partes del mundo. Además, usted va a alegrar a los nativos si, por lo menos, trata de comunicarse con ellos en su propia lengua materna.	Avec l´anglais certainement vous parlez dans 89 pays, avec l'allemand dans 10 et avec l'italien dans près de 7 Etats, mais Conversation de voyage vous aide à parler pratiquement n'importe où dans le monde. En plus, les résidents locaux sont toujours heureux lorsqu´au moins vous essayer de communiquer avec eux dans leur propre langue.	Engleskim jezikom se možete dogovoriti u 89 zemalja, njemačkim u 10 te talijanskim skoro u 7 zemalja, ali ovaj Priručnik za konverzaciju pomoći će vam da se dogovorite praktično bilo gdje na svijetu. Štoviše, mjesno stanovništvo uvijek će biti obradovano, ukoliko se barem pokušate sporazumjeti na njihovom vlastitom jeziku.	E’ vero che potete comunicare in inglese in 89 paesi, in tedesco in 10 e in italiano quasi in 7 stati, ma Conversazione da Viaggio vi aiuta a comunicare in qualsiasi parte del mondo. Per di più la popolazione locale è sempre lieta se almeno provate a comunicare nella loro lingua.	Angol nyelven megérteti magát 89 országban, német nyelven 10 országban és olasz nyelven 7 országban, de az Útiszótár segít boldogulni gyakorlatilag bárhol a világon. Ezen kívül a helyi lakosok mindig örömmel veszik, ha legalább megpróbál kommunikálni az ő saját nyelvükön.	Met het Engels kunt u wel in 89, met het Duits in 10 en met het Italiaans in bijna 7 landen geholpen worden, maar deze Conversatiegids helpt u om zich praktisch overal in de wereld verstaanbaar maken. Bovendien zijn de plaatselijke inwoners er altijd blij mee, als u alleen tracht in hun eigen taal met hen te spreken.	Selv om man kan bruke engelsk i 89 land, tysk i 10 land og italiensk i nesten 7 land, vår Reiseordbok kan hjelpe deg å kommunisere faktisk i hvert land, i hele verden. I tillegg, lokalt folk vil alltid vurdere din vennlig imøtekommenhet, når du forsøker å snakke med dem på deres eget språk.	Komunikacja w języku angielskim przebiega prawie w 89 krajach, w języku niemieckim w 10 a we włoskim prawie w 7. Rozmówki turystyczne pomogą Wam porozumieć się w każdym zakątku świata. W dodatku lokalnym mieszkańcom sprawi dużą przyjemność, jeśli chociaż postaracie się konwersować z nimi w ich rodzimym języku.	Com certeza com o Inglês é possível falar em 89 países, com Alemão em 10 e com Italiano em 7, mas Conversação para viagens ajuda a falar praticamente em todo o mundo. Além disso, os habitantes locais ficam sempre contentes quando você tenta ao menos falar com eles na sua própria língua.	Englannilla tulet toimeen 89:ssä maassa, saksalla 10:ssä ja italialla 7:ssä maassa, mutta tämän Matkasanakirjan avulla pystyt puhumaan käytännöllisesti katsoen missä tahansa. Ja lisäksi paikalliset ihmiset aina pitävät siitä, että ulkomaalainen ainakin yrittää puhua heidän omalla kielellään.	Med engelska kan ni göra er förstådda i 89 länder, men tyska i 10 och med italienska i nästan 7 länder, men denna Resekonversation hjälper er att kunna prata nästan överallt i värden. Dessutom blir de lokala invånade glada om ni försöker prata med dem på deras egna språk.	Şüphesiz, İngilizce ile 89 ülkede, Almanca ile 10 ülkede, İtalyanca ile 7 ülkede konuşabilirsiniz, ancak Seyahat konuşma kılavuzu dünyanın hemen hemen her yerinde konuşmanıza yardımcı olur. Ayrıca, en azından onlarla kendi dilinde konuşmaya çalıştığınızda yerel halkta her zaman mutluluk duyar.	Με την αγγλική γλώσσα μπορείτε να συνεννοηθείτε σε περισσότερες από 89 χώρες, με τα γερμανικά σε 10 και με τα ιταλικά περίπου σε 7 χώρες, αλλά με τις συγκεκριμένες χρήσιμες ταξιδιωτικές φράσεις μπορείτε να επικοινωνήσετε σε ολόκληρο τον κόσμο. Επιπλέον, οι ντόπιοι κάτοικοι θα χαρούν όταν θα προσπαθείτε να επικοινωνήσετε με τη δική τους γλώσσα.	На английски ще се разберете в 89 страни, на немски в 10, а на италиански в 7 страни, но този Пътнически разговорник ще ви помогне да се разберете практически където и да е по света. В повече, местните жители винаги са доволни, когато дори се опитате да се разбирате с тях на техния собствен език.	К примеру, по-английски Вы можете договориться в 89-ти странах, по-немецки - в десяти, по-итальянски — только в семи, а наш Разговорник для путешествий Вам поможет договориться практически в любом месте мира. Более того, местные жители всегда будут рады если Вы хотя бы попытаетесь договориться с ними на их языке.	ידע באנגלית מאפשר לתקשר ב-89 מדינות, ידע בגרמנית ב-10 מדינות, וידע באיטלקית ב-7 מדינות. אולם, השיחון לתייר מאפשר לכם לתקשר כמעט בכל מקום בעולם. בנוסף לכך, המקומיים תמיד שמחים מכך שאתם מנסים לדבר איתם בשפתם.	عل الرغم من أنه يمكنك أن تتكلم باللغة الإنكليزية في 89 دولة و باللغة الألمانية في 10 دول و باللغة الإيطالية في 7 دول إلا أن هذه العبارات المستخدمة في السفر ستساعدك عملياً على التحدث في جميع أنحاء العالم. بالإضافة إلى أن سكان البلد المحليين سيسعدون دائماً لو أنك حاولت على الأقل التكلم معهم بلغتهم المحلية.	掌握英语，你可以在89个国家使用；掌握德语，你可以在10个国家使用；意大利语，7个国家。但是有了旅行常用会话指南，你可以在世界任何一个国家自由旅行。至少，当你尝试与当地人说他们自己的语言时，他们总是会很高兴。	もちろん、英語だけであなたは89カ国で話すことができますし、ドイツ語で10カ国、イタリア語では7カ国で話すことができます。しかし、旅行会話はあなたが世界のどの国でも、実用的なコミュニケーションができるよう助けてくれます。もちろん、現地の人々にはあなたが何か一つでも彼らの言葉で話そうとすることが大きな喜びでしょう。
Kompletní kolekce Konverzace na cesty obsahuje 22 jazyků v podobě nejpoužívanějších frází. Už nepotřebujete žádné cestovní příručky ani slovníky.	Den komplette kollektion af Rejseparløren indeholder de mest brugte sætninger på 22 sprog. Du har ikke længere behov for hverken rejseguider eller ordbøger.	Das komplette Paket des Reisesprachführers umfasst 22 Sprachen in Form der am meisten verwendeten Phrasen. Sie benötigen keine Sprach- oder Wörterbücher mehr.	The complete collection of the Traveler’s phrasebook includes a wide range of commonly used phrases in 22 languages. This means you no longer need individual travel guides or dictionaries.	La colección completa del Diccionario de viaje contiene 22 lenguas con las frases más usadas. Ya no necesita usted ningunos manuales ni diccionarios.	La collection complète Conversation de voyage comprend 22 langues sous forme de phrases les plus largement utilisées. Vous n'avez plus besoin de guides de voyage ou de dictionnaires.	Kompletna kolekcija Priručnik za konverzaciju sadrži 22 jezika u obliku najviše korištenih fraza. Više nećete trebati nikakve druge priručnike ni rječnike.	Il set completo di Conversazione da Viaggio comprende 22 lingue nelle loro espressioni più usate. Non avrete più bisogno di nessun manuale né dizionario.	Az Útiszótár komplett gyűjteménye 22 nyelvet tartalmaz, azok leggyakrabban használt kifejezéseit. Már nincs szüksége sem útikalauzra sem szótárakra.	De volledige verzameling van de Conversatiegids houdt de meest gebruikte zinnen in 22 talen. U hebt geen reis- of woordenboeken meer nodig.	Reiseordbok forestiller et komplett sett, en kolleksjon av 22 språk med sine mest brukte ord, uttrykk og fraser. Med Reiseordboka behøver du ikke mer å ta på deg all slags ordbøker og reisehåndbøker.	Komplet Rozmówek turystycznych zawiera 22 języki w formie najczęściej używanych fraz. Nie potrzebujecie już żadnych poradników turystycznych ani słowników.	A coleção completa Conversação para viagens é feita das frases mais usadas em 22 línguas. Você não precisará mais nem de guias nem de dicionários.	Koko Matkasanakirja -paketti sisältää yleisimmin käytetyt sanat ja sanonnat 22:lla kielellä. Et tarvitse matkaoppaita tai muita sanakirjoja.	Komplett kollektion Resekonversationen innehåller 22 språk i form av de mest använda fraser. Du behöver inte längre några resehandböcker eller ordböcker.	Tam koleksiyon Seyahat konuşma kılavuzu 22 dilde en çok kullanılan cümlelerden oluşur. Artık, herhangi bir seyahat rehberine ve sözlüğe ihtiyacınız yok.	Η πλήρης συλλογή των Χρήσιμων ταξιδιωτικών φράσεων περιλαμβάνει περίπου 22 γλώσσες και τις προτάσεις που χρησιμοποιούνται περισσότερο. Τώρα πια δε χρειαζόμαστε κανένα ταξιδιωτικό οδηγό ή λεξικό.	Пълната колекция на Пътническия разговорник включва най-широко използваните фрази на 22 езика. Вече не се нуждаете от никакви пътеводители или речници.	Полная коллекция Разговорника для путешествий содержит 22 языка и составлена из самых употребительных фраз, поэтому Вам уже больше не понадобятся никакие гиды или другие словари.	האוסף המלא של השיחון לתייר מורכב מהביטויים הנפוצים ביותר מ-22 שפות. מעתה, לא תזדקקו עוד לשום מדריך תיירים ושום מילון.	االمجموعة الكاملة للعبارات المستخدمة في السفر تحتوي على 22 لغة على شكل مصطلحات كثيرة الاستخدام. فمن الآن و صاعداً لست بحاجة إلى إستخدام أية قواميس أو دلائل للسفر.	完整版本的旅行常用会话指南是由22种语言中最常用的短语组成。你将不再需要任何旅游指南或字典。	この旅行会話の完全版は22カ国言語の旅先で最も使われるフレーズで構成されています。これ以上の旅行ガイドや案内書要らず。
Vlastnosti	Egenskaber	Eigenschaften der App	Features	Características	Propriétés	Svojstva	Proprietà	Jellemzők	Eigendommen	Egenskape	Właściwości aplikacji	Características	Ominaisuudet	Egenskaper	Uygulama özellikleri	Ιδιότητες	Свойства	Качество приложения	תכונות היישום	خصائص التطبيق	应用程序特色	の特徴
Náhled	Preview	Ansicht der App	Preview	Vista preliminar	Apperçus	Prikaz	Profilo	Kinézete	Inzage applicatie	Prøveforestilling	Podgląd aplikacji	Apresentação	Esikatselu	Visning	Uygulama önizleme	Προβολή	Изглед	Вид приложения	תצוגת היישום	عرض التطبيق	应用程序预览	プレビュー
Konverzace na cesty vám pomůže domluvit se prakticky kdekoliv na světě.	Rejseparløren kan du faktisk tale overalt i verden	Der Reisesprachführer hilft Ihnen sich praktisch überall auf der Welt zu verständigen.	Traveler’s phrasebook enables you to speak anywhere in the world	Diccionario de viaje le ayuda a comunicarse prácticamente por todas las partes del mundo	Conversation de voyage vous aide à parler pratiquement n'importe où dans le monde	Priručnik za konverzaciju pomoći će vam da se dogovorite praktično bilo gdje na svijetu	Conversazione da Viaggio vi aiuta a comunicare in qualsiasi parte del mondo	Útiszótár segít boldogulni gyakorlatilag bárhol a világon	Conversatiegids helpt u om zich praktisch overal in de wereld verstaanbaar maken	Reiseordbok kan hjelpe deg å kommunisere faktisk i hvert land, i hele verden	Rozmówki turystyczne pomogą Wam porozumieć się w każdym zakątku świata	Conversação para viagens ajuda a falar praticamente em todo o mundo	Matkasanakirjan avulla pystyt puhumaan käytännöllisesti katsoen missä tahansa	Resekonversation hjälper er att kunna prata nästan överallt i värden	Seyahat konuşma kılavuzu dünyanın hemen hemen her yerinde konuşmanıza yardımcı olur	χρήσιμες ταξιδιωτικές φράσεις μπορείτε να επικοινωνήσετε σε ολόκληρο τον κόσμο	Пътнически разговорник ще ви помогне да се разберете практически където и да е по света	Разговорник для путешествий Вам поможет договориться практически в любом месте мира	השיחון לתייר מאפשר לכם לתקשר כמעט בכל מקום בעולם.	العبارات المستخدمة في السفر ستساعدك عملياً على التحدث في جميع أنحاء العالم.	但是有了旅行常用会话指南，你可以在世界任何一个国家自由旅行。	しかし、旅行会話はあなたが世界のどの国でも、実用的なコミュニケーションができるよう助けてくれます。
Už nepotřebujete žádné cestovní příručky ani slovníky.	Du har ikke længere behov for hverken rejseguider eller ordbøger.	Sie benötigen keine Sprach- oder Wörterbücher mehr.	This means you no longer need individual travel guides or dictionaries.	Ya no necesita usted ningunos manuales ni diccionarios.	Vous n'avez plus besoin de guides de voyage ou de dictionnaires.	Više nećete trebati nikakve druge priručnike ni rječnike.	Non avrete più bisogno di nessun manuale né dizionario.	Már nincs szüksége sem útikalauzra sem szótárakra.	U hebt geen reis- of woordenboeken meer nodig.	Med Reiseordboka behøver du ikke mer å ta på deg all slags ordbøker og reisehåndbøker.	Nie potrzebujecie już żadnych poradników turystycznych ani słowników.	Você não precisará mais nem de guias nem de dicionários.	Et tarvitse matkaoppaita tai muita sanakirjoja.	Du behöver inte längre några resehandböcker eller ordböcker.	Artık, herhangi bir seyahat rehberine ve sözlüğe ihtiyacınız yok.	Τώρα πια δε χρειαζόμαστε κανένα ταξιδιωτικό οδηγό ή λεξικό.	Вече не се нуждаете от никакви пътеводители или речници.	Вам уже больше не понадобятся никакие гиды или другие словари.	מעתה, לא תזדקקו עוד לשום מדריך תיירים ושום מילון.	فمن الآن و صاعداً لست بحاجة إلى إستخدام أية قواميس أو دلائل للسفر.	你将不再需要任何旅游指南或字典。	これ以上の旅行ガイドや案内書要らず。
Použití cizích jazyků ve všech zemích světa	Brugen af fremmedsprog i alle lande	Der Gebrauch von Fremdsprachen in den Ländern der Welt	The use of foreign languages ​​in all countries	El uso de las lenguas extranjeras en todos los países	Utilisation des langues dans le monde	Korištenje stranih jezika u svim zemljama	Lingue usate nei singoli paesi	Idegen nyelvek használata minden országban	Het gebruik van vreemde talen in alle landen	Bruk av fremmede språk i alle land	Użycie języków obcych we wszystkich krajach	A utilização de línguas estrangeiras em todos os países	Vieraiden kielten käyttö kaikissa maissa	Användning av främmande språk i alla länder	Tüm ülkelerdeki yabancı dillerin kullanımı	Χρήση των ξένων γλωσσών σε όλα τα κράτη	Използване на чужди езици във всички държави на света	Использование иностранных языков во всех странах	שימוש בשפות זרות בכל המדינות	استخدام اللغات الأجنبية في جميع الدول	各个国家使用的语言	世界の国々で使われる外国語